plot_Ptrap_per;plot_Ptrap;plot;Ptrap;period;Perturbation;selection
219-4_PN_4;219-4_PN;219-4;PN;4;Ok;1
219-4_PS_4;219-4_PS;219-4;PS;4;Ok;1
219-4_PW_4;219-4_PW;219-4;PW;4;Ok;1
245-2_PE_4;245-2_PE;245-2;PE;4;Ok;1
245-2_PN_4;245-2_PN;245-2;PN;4;Ok;1
245-2_PS_4;245-2_PS;245-2;PS;4;Ok;1
245-2_PW_4;245-2_PW;245-2;PW;4;Ok;1
255-1_PE_4;255-1_PE;255-1;PE;4;Ok;1
255-1_PN_4;255-1_PN;255-1;PN;4;HS;0
255-1_PS_4;255-1_PS;255-1;PS;4;OK;1
255-1_PW_4;255-1_PW;255-1;PW;4;OK;1
14-1_PE_5;14-1_PE;14-janv;PE;5;OK;1
14-1_PN_5;14-1_PN;14-janv;PN;5;T;1
14-1_PS_5;14-1_PS;14-janv;PS;5;P-T;0
14-1_PW_5;14-1_PW;14-janv;PW;5;OK;1
14-2_PE_5;14-2_PE;14-févr;PE;5;HS;0
14-2_PN_5;14-2_PN;14-févr;PN;5;OK;1
14-2_PS_5;14-2_PS;14-févr;PS;5;OK;1
14-2_PW_5;14-2_PW;14-févr;PW;5;OK;1
15-2_PE_5;15-2_PE;15-févr;PE;5;HS;0
15-2_PN_5;15-2_PN;15-févr;PN;5;T;1
15-2_PS_5;15-2_PS;15-févr;PS;5;T;1
15-2_PW_5;15-2_PW;15-févr;PW;5;HS;0
45-4_PE_5;45-4_PE;45-4;PE;5;HS;0
45-4_PN_5;45-4_PN;45-4;PN;5;OK;1
45-4_PS_5;45-4_PS;45-4;PS;5;P-T;0
45-4_PW_5;45-4_PW;45-4;PW;5;OK;1
50-3_PE_5;50-3_PE;50-3;PE;5;OK;1
50-3_PN_5;50-3_PN;50-3;PN;5;OK;1
50-3_PS_5;50-3_PS;50-3;PS;5;OK;1
50-3_PW_5;50-3_PW;50-3;PW;5;OK;1
55-4_PE_5;55-4_PE;55-4;PE;5;HS;0
55-4_PN_5;55-4_PN;55-4;PN;5;HS;0
55-4_PS_5;55-4_PS;55-4;PS;5;HS;0
55-4_PW_5;55-4_PW;55-4;PW;5;HS;0
61-3_PE_5;61-3_PE;61-3;PE;5;OK;1
61-3_PN_5;61-3_PN;61-3;PN;5;HS;0
61-3_PS_5;61-3_PS;61-3;PS;5;HS;0
61-3_PW_5;61-3_PW;61-3;PW;5;HS;0
61-4_PE_5;61-4_PE;61-4;PE;5;Ok;1
61-4_PN_5;61-4_PN;61-4;PN;5;HS;0
61-4_PS_5;61-4_PS;61-4;PS;5;OK;1
61-4_PW_5;61-4_PW;61-4;PW;5;T;1
75-4_PE_5;75-4_PE;75-4;PE;5;HS;0
75-4_PN_5;75-4_PN;75-4;PN;5;OK;1
75-4_PS_5;75-4_PS;75-4;PS;5;OK;1
75-4_PW_5;75-4_PW;75-4;PW;5;HS;0
110-4_PE_5;110-4_PE;110-4;PE;5;HS;0
110-4_PN_5;110-4_PN;110-4;PN;5;HS;0
110-4_PS_5;110-4_PS;110-4;PS;5;HS;0
110-4_PW_5;110-4_PW;110-4;PW;5;HS;0
111-1_PE_5;111-1_PE;111-1;PE;5;OK;1
111-1_PN_5;111-1_PN;111-1;PN;5;OK;1
111-1_PS_5;111-1_PS;111-1;PS;5;OK;1
111-1_PW_5;111-1_PW;111-1;PW;5;OK;1
111-3_PE_5;111-3_PE;111-3;PE;5;OK;1
111-3_PN_5;111-3_PN;111-3;PN;5;HS;0
111-3_PS_5;111-3_PS;111-3;PS;5;Ok;1
111-3_PW_5;111-3_PW;111-3;PW;5;OK;1
125-3_PE_5;125-3_PE;125-3;PE;5;HS;0
125-3_PN_5;125-3_PN;125-3;PN;5;OK;1
125-3_PS_5;125-3_PS;125-3;PS;5;OK;1
125-3_PW_5;125-3_PW;125-3;PW;5;OK;1
139-2_PE_5;139-2_PE;139-2;PE;5;HS;0
139-2_PN_5;139-2_PN;139-2;PN;5;HS;0
139-2_PS_5;139-2_PS;139-2;PS;5;OK;1
139-2_PW_5;139-2_PW;139-2;PW;5;HS;0
139-4_PE_5;139-4_PE;139-4;PE;5;OK;1
139-4_PN_5;139-4_PN;139-4;PN;5;HS;0
